date,sp500_total,sp500_above_50,sp500_above_100,sp500_above_200,sp500_pct_above_50,sp500_pct_above_100,sp500_pct_above_200,nasdaq_total,nasdaq_above_50,nasdaq_above_100,nasdaq_above_200,nasdaq_pct_above_50,nasdaq_pct_above_100,nasdaq_pct_above_200
2025-08-28,499,328,365,341,65.73,73.15,68.34,101,55,72,71,54.46,71.29,70.3
2025-08-29,499,328,365,341,65.73,73.15,68.34,101,55,72,71,54.46,71.29,70.3
2025-09-01,499,297,350,332,59.52,70.14,66.53,101,46,66,66,45.54,65.35,65.35
2025-09-02,499,291,342,330,58.32,68.54,66.13,101,45,64,66,44.55,63.37,65.35
2025-09-03,499,304,345,339,60.92,69.14,67.94,101,50,63,68,49.5,62.38,67.33
2025-09-04,499,302,346,339,60.52,69.34,67.94,101,53,65,68,52.48,64.36,67.33
2025-09-05,499,302,346,339,60.52,69.34,67.94,101,53,65,68,52.48,64.36,67.33
2025-09-08,499,294,334,324,58.92,66.93,64.93,101,50,61,67,49.5,60.4,66.34
2025-09-09,499,285,331,319,57.11,66.33,63.93,101,48,59,62,47.52,58.42,61.39
2025-09-10,499,328,351,346,65.73,70.34,69.34,101,51,62,67,50.5,61.39,66.34
2025-09-11,499,310,343,333,62.12,68.74,66.73,101,52,62,66,51.49,61.39,65.35
2025-09-12,499,310,343,333,62.12,68.74,66.73,101,52,62,66,51.49,61.39,65.35
2025-09-15,499,266,315,319,53.31,63.13,63.93,101,47,61,65,46.53,60.4,64.36
2025-09-16,499,280,324,318,56.11,64.93,63.73,101,50,65,65,49.5,64.36,64.36
2025-09-17,499,292,322,320,58.52,64.53,64.13,101,56,64,64,55.45,63.37,63.37
2025-09-18,499,292,316,319,58.52,63.33,63.93,101,59,66,68,58.42,65.35,67.33
2025-09-19,499,292,316,319,58.52,63.33,63.93,101,59,66,68,58.42,65.35,67.33
2025-09-22,499,295,323,321,59.12,64.73,64.33,101,56,67,66,55.45,66.34,65.35
2025-09-23,499,274,320,320,54.91,64.13,64.13,101,51,66,65,50.5,65.35,64.36
2025-09-24,499,252,300,310,50.5,60.12,62.12,101,47,59,64,46.53,58.42,63.37
